         377260 function calls (377141 primitive calls) in 0.178 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.152    0.076 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/runners.py:169(run)
        6    0.000    0.000    0.151    0.025 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:683(run_until_complete)
        6    0.000    0.000    0.151    0.025 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:672(run_forever)
        2    0.000    0.000    0.151    0.075 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/runners.py:87(run)
       12    0.000    0.000    0.151    0.013 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_events.py:1966(_run_once)
       12    0.000    0.000    0.150    0.013 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/events.py:92(_run)
       12    0.000    0.000    0.150    0.013 {method 'run' of '_contextvars.Context' objects}
        1    0.007    0.007    0.127    0.127 /Users/pasha/PycharmProjects/IMHexMCP/lib/profile_performance.py:91(profile_caching)
     6000    0.018    0.000    0.069    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:622(set)
    14000    0.014    0.000    0.061    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:513(_generate_key)
     8000    0.011    0.000    0.058    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:582(get)
    12996    0.022    0.000    0.043    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:531(_generate_key_cached)
        1    0.001    0.001    0.027    0.027 /Users/pasha/PycharmProjects/IMHexMCP/lib/profile_performance.py:63(profile_compression)
        1    0.002    0.002    0.023    0.023 /Users/pasha/PycharmProjects/IMHexMCP/lib/profile_performance.py:30(profile_async_client)
      300    0.001    0.000    0.015    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:133(compress_data)
      200    0.000    0.000    0.014    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:127(<lambda>)
      200    0.014    0.000    0.014    0.000 {built-in method zlib.compress}
     6000    0.007    0.000    0.011    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/cache.py:556(_estimate_size)
      9/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:1360(_find_and_load)
      9/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
      8/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:914(_load_unlocked)
      200    0.000    0.000    0.009    0.000 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:222(decompress_data)
     22/7    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      4/2    0.000    0.000    0.008    0.004 <frozen importlib._bootstrap_external>:756(exec_module)
      200    0.008    0.000    0.008    0.000 {built-in method zlib.decompress}
      4/2    0.000    0.000    0.008    0.004 {built-in method builtins.exec}
    14001    0.003    0.000    0.007    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/locks.py:19(__aexit__)
        2    0.000    0.000    0.007    0.004 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:67(__init__)
    12996    0.007    0.000    0.007    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
    14001    0.004    0.000    0.006    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/locks.py:13(__aenter__)
        1    0.000    0.000    0.006    0.006 /Users/pasha/PycharmProjects/IMHexMCP/lib/async_client.py:38(__init__)
        1    0.000    0.000    0.005    0.005 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:100(_init_zstd)
        8    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:809(module_from_spec)
        4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1054(create_module)
        4    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
     4000    0.002    0.000    0.005    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/random.py:335(randint)
        1    0.000    0.000    0.005    0.005 /Users/pasha/PycharmProjects/IMHexMCP/mcp-server/venv/lib/python3.14/site-packages/zstandard/__init__.py:1(<module>)
    14001    0.003    0.000    0.005    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/locks.py:127(release)
